OOut_l_0.01_g_0.995_p_MlpPolicy
Step,Point,Load_Mult,Reg Changed,Tap Changed,Reward,Regulator States,Time,creg1a,creg2a,creg3a,creg3c,creg4a,creg4b,creg4c,
1,1,0.3599999999999999,creg4a,-5,-24.745224308494393,,0.4,0,0,0,0,-5,0,0,
2,1,0.3599999999999999,creg3c,-11,-77.73121089424242,,0.8,0,0,0,-11,-5,0,0,
3,1,0.3599999999999999,creg4c,-9,-436.2875237304623,,1.2,0,0,0,-11,-5,0,-9,
4,1,0.3599999999999999,creg3a,8,-435.81014666158086,,1.6,0,0,8,-11,-5,0,-9,
5,1,0.3599999999999999,creg4c,16,-446.05972704178953,,2.0,0,0,8,-11,-5,0,16,
6,1,0.3599999999999999,creg2a,-15,-480.99337788020193,,2.4,0,-15,8,-11,-5,0,16,
7,1,0.3599999999999999,creg4b,-9,-787.473947415512,,2.8,0,-15,8,-11,-5,-9,16,
8,1,0.3599999999999999,creg3a,-4,-788.9427762149609,,3.2,0,-15,-4,-11,-5,-9,16,
9,1,0.3599999999999999,creg1a,3,-474.72975006179627,,3.6,3,-15,-4,-11,-5,-9,16,
10,1,0.3599999999999999,creg4a,13,-873.7984893988078,,4.0,3,-15,-4,-11,13,-9,16,
11,1,0.3599999999999999,creg4c,-16,-878.4818100478293,,4.4,3,-15,-4,-11,13,-9,-16,
12,1,0.3599999999999999,creg4b,1,-868.2044979404559,,4.8,3,-15,-4,-11,13,1,-16,
13,1,0.3599999999999999,creg3a,-12,-907.1735012181125,,5.2,3,-15,-12,-11,13,1,-16,
14,1,0.3599999999999999,creg4c,-11,-905.9918069667128,,5.6,3,-15,-12,-11,13,1,-11,
15,1,0.3599999999999999,creg4c,-12,-903.4245865399322,,6.0,3,-15,-12,-11,13,1,-12,
16,1,0.3599999999999999,creg4b,15,-1221.9129679233783,,6.4,3,-15,-12,-11,13,15,-12,
17,1,0.3599999999999999,creg2a,4,-1184.5022200202811,,6.8,3,4,-12,-11,13,15,-12,
18,1,0.3599999999999999,creg2a,-10,-1221.9389379151867,,7.2,3,-10,-12,-11,13,15,-12,
19,1,0.3599999999999999,creg3a,10,-1226.021015464304,,7.6,3,-10,10,-11,13,15,-12,
20,1,0.3599999999999999,creg4b,1,-910.5284119817904,,8.0,3,-10,10,-11,13,1,-12,
21,1,0.3599999999999999,creg1a,3,-903.5284119817904,,8.4,3,-10,10,-11,13,1,-12,
22,1,0.3599999999999999,creg1a,10,-2188.213439813719,,8.8,10,-10,10,-11,13,1,-12,
23,1,0.3599999999999999,creg1a,2,-907.3562273450208,,9.2,2,-10,10,-11,13,1,-12,
24,1,0.3599999999999999,creg3c,-1,-858.3651860632802,,9.6,2,-10,10,-1,13,1,-12,
25,1,0.3599999999999999,creg2a,0,-853.3651860632802,,10.0,2,-10,10,-1,13,1,-12,
26,1,0.3599999999999999,creg3a,6,-815.3477464631469,,10.4,2,-10,6,-1,13,1,-12,
