Index,Step,Point,Load_Mult,Reg Changed,Tap Changed,Reward,Regulator States,Time,creg1a,creg2a,creg3a,creg3c,creg4a,creg4b,creg4c,
0,1,1,0.3599999999999999,creg3a,10,-27.514171938067616,,0.4,0,0,10,0,0,0,0,
1,2,1,0.3599999999999999,creg3c,6,-25.513536289129966,,0.8,0,0,10,6,0,0,0,
2,3,1,0.3599999999999999,creg3c,0,-22.513536289129966,,1.2,0,0,10,6,0,0,0,
3,4,1,0.3599999999999999,creg3c,12,-75.52146658019834,,1.6,0,0,10,12,0,0,0,
4,5,1,0.3599999999999999,creg4b,-4,-74.25659645592674,,2.0,0,0,10,12,0,-4,0,
5,6,1,0.3599999999999999,creg4b,-15,-386.99638257542625,,2.4,0,0,10,12,0,-15,0,
6,7,1,0.3599999999999999,creg1a,7,-395.46280295528715,,2.8,7,0,10,12,0,-15,0,
7,8,1,0.3599999999999999,creg4a,-14,-798.1665042558789,,3.2,7,0,10,12,-14,-15,0,
8,9,1,0.3599999999999999,creg4c,9,-1146.6001615495784,,3.6,7,0,10,12,-14,-15,9,
9,10,1,0.3599999999999999,creg4b,-1,-869.9403116401402,,4.0,7,0,10,12,-14,-1,9,
10,11,1,0.3599999999999999,creg1a,3,-864.3565862321869,,4.4,3,0,10,12,-14,-1,9,
11,12,1,0.3599999999999999,creg3c,8,-864.3446836705238,,4.8,3,0,10,8,-14,-1,9,
12,13,1,0.3599999999999999,creg4b,-16,-1178.8453252128083,,5.2,3,0,10,8,-14,-16,9,
13,14,1,0.3599999999999999,creg3a,-13,-1182.7677406516857,,5.6,3,0,-13,8,-14,-16,9,
14,15,1,0.3599999999999999,creg3c,14,-1174.2867531674333,,6.0,3,0,-13,14,-14,-16,9,
15,16,1,0.3599999999999999,creg3a,-8,-1133.8103764135465,,6.4,3,0,-8,14,-14,-16,9,
16,17,1,0.3599999999999999,creg4c,-16,-1142.0127980303494,,6.8,3,0,-8,14,-14,-16,-16,
17,18,1,0.3599999999999999,creg3c,9,-1131.9966641533024,,7.2,3,0,-8,9,-14,-16,-16,
18,19,1,0.3599999999999999,creg2a,6,-1132.5220329201593,,7.6,3,6,-8,9,-14,-16,-16,
19,20,1,0.3599999999999999,creg1a,16,-1677.6876370177138,,8.0,16,6,-8,9,-14,-16,-16,
20,21,1,0.3599999999999999,creg4b,12,-1998.2815275898045,,8.4,16,6,-8,9,-14,12,-16,
21,22,1,0.3599999999999999,creg3a,-2,-2027.3091388933676,,8.8,16,6,-2,9,-14,12,-16,
22,23,1,0.3599999999999999,creg1a,16,-2024.3091388933676,,9.2,16,6,-2,9,-14,12,-16,
23,24,1,0.3599999999999999,creg4c,-16,-2024.3091388933676,,9.6,16,6,-2,9,-14,12,-16,
24,25,1,0.3599999999999999,creg4c,11,-2400.0879851245027,,10.0,16,6,-2,9,-14,12,11,
25,26,1,0.3599999999999999,creg4a,12,-2792.4215777215295,,10.4,16,6,-2,9,12,12,11,
26,27,1,0.3599999999999999,creg3a,-11,-2743.8856241191543,,10.8,16,6,-11,9,12,12,11,
27,28,1,0.3599999999999999,creg4a,-1,-2744.0089292685,,11.2,16,6,-11,9,-1,12,11,
28,29,1,0.3599999999999999,creg4b,16,-2740.0757276594427,,11.6,16,6,-11,9,-1,16,11,
29,30,1,0.3599999999999999,creg3c,-14,-2699.5290907562817,,12.0,16,6,-11,-14,-1,16,11,
30,31,1,0.3599999999999999,creg4a,13,-2697.0522371711913,,12.4,16,6,-11,-14,13,16,11,
31,32,1,0.3599999999999999,creg4b,0,-2690.0522371711913,,12.8,16,6,-11,-14,13,16,11,
32,33,1,0.3599999999999999,creg3c,-3,-2745.5614870679506,,13.2,16,6,-11,-3,13,16,11,
33,34,1,0.3599999999999999,creg3c,-6,-2741.5522353732235,,13.6,16,6,-11,-6,13,16,11,
34,35,1,0.3599999999999999,creg4a,10,-2741.070768401648,,14.0,16,6,-11,-6,10,16,11,
35,36,1,0.3599999999999999,creg4a,-6,-2475.4544966788585,,14.4,16,6,-11,-6,-6,16,11,
36,37,1,0.3599999999999999,creg1a,10,-2018.969648891803,,14.8,10,6,-11,-6,-6,16,11,
37,38,1,0.3599999999999999,creg3c,-16,-2020.9708185366685,,15.2,10,6,-11,-16,-6,16,11,
38,39,1,0.3599999999999999,creg3c,0,-2015.9708185366685,,15.6,10,6,-11,-16,-6,16,11,
39,40,1,0.3599999999999999,creg4a,7,-2523.7001410531816,,16.0,10,6,-11,-16,7,16,11,
40,41,1,0.3599999999999999,creg4b,-3,-2364.5718518093763,,16.4,10,6,-11,-16,7,-3,11,
41,42,1,0.3599999999999999,creg2a,1,-2357.546126616361,,16.8,10,1,-11,-16,7,-3,11,
42,43,1,0.3599999999999999,creg2a,11,-2360.098534078664,,17.2,10,11,-11,-16,7,-3,11,
43,44,1,0.3599999999999999,creg3c,4,-2365.112323629371,,17.6,10,11,-11,4,7,-3,11,
44,45,1,0.3599999999999999,creg1a,14,-2738.2873875460136,,18.0,14,11,-11,4,7,-3,11,
45,46,1,0.3599999999999999,creg4a,-4,-2690.311872501902,,18.4,14,11,-11,4,-4,-3,11,
