Index,Step,Point,Load_Mult,Reg Changed,Tap Changed,Reward,Regulator States,creg1a,creg2a,creg3a,creg3c,creg4a,creg4b,creg4c,
0,1,1,0.3599999999999999,creg3a,-6,-35.469831307058065,,0,0,-6,0,0,0,0,
1,2,1,0.3599999999999999,creg4c,-2,-33.3749813437512,,0,0,-6,0,0,0,-2,
2,3,1,0.3599999999999999,creg4b,-11,-337.14295443891547,,0,0,-6,0,0,-11,-2,
3,4,1,0.3599999999999999,creg2a,8,-335.6770104144435,,0,8,-6,0,0,-11,-2,
4,5,1,0.3599999999999999,creg2a,12,-373.6968809724325,,0,12,-6,0,0,-11,-2,
5,6,1,0.3599999999999999,creg4b,-4,-75.66214523932797,,0,12,-6,0,0,-4,-2,
6,7,1,0.3599999999999999,creg3a,-16,-107.10686594347648,,0,12,-16,0,0,-4,-2,
7,8,1,0.3599999999999999,creg4c,3,-104.867883172744,,0,12,-16,0,0,-4,3,
8,9,1,0.3599999999999999,creg3c,15,-159.88518267729594,,0,12,-16,15,0,-4,3,
9,10,1,0.3599999999999999,creg4b,-1,-154.07632574680005,,0,12,-16,15,0,-1,3,
10,11,1,0.3599999999999999,creg4a,11,-548.8903987704152,,0,12,-16,15,11,-1,3,
11,12,1,0.3599999999999999,creg3c,-1,-501.3725415940482,,0,12,-16,-1,11,-1,3,
12,13,1,0.3599999999999999,creg4a,-6,-180.77519822561706,,0,12,-16,-1,-6,-1,3,
13,14,1,0.3599999999999999,creg3a,3,-141.85609349473316,,0,12,3,-1,-6,-1,3,
14,15,1,0.3599999999999999,creg4c,4,-132.41518331095025,,0,12,3,-1,-6,-1,4,
15,16,1,0.3599999999999999,creg2a,-14,-145.29626721563676,,0,-14,3,-1,-6,-1,4,
16,17,1,0.3599999999999999,creg1a,-3,-453.5121802829349,,-3,-14,3,-1,-6,-1,4,
17,18,1,0.3599999999999999,creg1a,-11,-2434.5737118704974,,-11,-14,3,-1,-6,-1,4,
18,19,1,0.3599999999999999,creg1a,-13,-2771.013895839604,,-13,-14,3,-1,-6,-1,4,
19,20,1,0.3599999999999999,creg4b,14,-2468.6747158084236,,-13,-14,3,-1,-6,14,4,
20,21,1,0.3599999999999999,creg4b,0,-2461.1744246773123,,-13,-14,3,-1,-6,14,4,
21,22,1,0.3599999999999999,creg4c,-8,-2466.324058815541,,-13,-14,3,-1,-6,14,-8,
22,23,1,0.3599999999999999,creg2a,12,-2433.4413464717263,,-13,12,3,-1,-6,14,-8,
23,24,1,0.3599999999999999,creg2a,8,-2422.424888455849,,-13,8,3,-1,-6,14,-8,
24,25,1,0.3599999999999999,creg4a,2,-2425.3340297809627,,-13,8,3,-1,2,14,-8,
25,26,1,0.3599999999999999,creg4a,-1,-2422.479983784357,,-13,8,3,-1,-1,14,-8,
26,27,1,0.3599999999999999,creg2a,15,-2424.5099389421785,,-13,15,3,-1,-1,14,-8,
27,28,1,0.3599999999999999,creg2a,-11,-2473.8907295035287,,-13,-11,3,-1,-1,14,-8,
28,29,1,0.3599999999999999,creg1a,-3,-738.1331985014181,,-3,-11,3,-1,-1,14,-8,
29,30,1,0.3599999999999999,creg2a,-13,-734.1222865720401,,-3,-13,3,-1,-1,14,-8,
30,31,1,0.3599999999999999,creg4b,-8,-742.2604703421796,,-3,-13,3,-1,-1,-8,-8,
31,32,1,0.3599999999999999,creg1a,-4,-731.1733037757871,,-4,-13,3,-1,-1,-8,-8,
32,33,1,0.3599999999999999,creg4b,6,-429.2368831622932,,-4,-13,3,-1,-1,6,-8,
33,34,1,0.3599999999999999,creg4b,14,-737.0314491909533,,-4,-13,3,-1,-1,14,-8,
34,35,1,0.3599999999999999,creg1a,-5,-952.9257624785575,,-5,-13,3,-1,-1,14,-8,
35,36,1,0.3599999999999999,creg4c,-16,-956.4819050857726,,-5,-13,3,-1,-1,14,-16,
36,37,1,0.3599999999999999,creg2a,-12,-952.4870376116439,,-5,-12,3,-1,-1,14,-16,
37,38,1,0.3599999999999999,creg4a,-2,-1112.3671692155465,,-5,-12,3,-1,-2,14,-16,
38,39,1,0.3599999999999999,creg3c,16,-1170.8683481659814,,-5,-12,3,16,-2,14,-16,
39,40,1,0.3599999999999999,creg1a,-2,-784.2252997258828,,-2,-12,3,16,-2,14,-16,
40,41,1,0.3599999999999999,creg4b,-9,-792.1512319638656,,-2,-12,3,16,-2,-9,-16,
41,42,1,0.3599999999999999,creg4b,-3,-474.1046734325053,,-2,-12,3,16,-2,-3,-16,
42,43,1,0.3599999999999999,creg3c,5,-426.59187118029587,,-2,-12,3,5,-2,-3,-16,
43,44,1,0.3599999999999999,creg3c,14,-475.59821951468376,,-2,-12,3,14,-2,-3,-16,
44,45,1,0.3599999999999999,creg2a,-13,-471.0933011176925,,-2,-13,3,14,-2,-3,-16,
45,46,1,0.3599999999999999,creg4b,10,-788.7361704900192,,-2,-13,3,14,-2,10,-16,
46,47,1,0.3599999999999999,creg3c,6,-736.2297549630192,,-2,-13,3,6,-2,10,-16,
47,48,1,0.3599999999999999,creg4b,-5,-428.44601323019344,,-2,-13,3,6,-2,-5,-16,
48,49,1,0.3599999999999999,creg1a,11,-1788.460154428928,,11,-13,3,6,-2,-5,-16,
49,50,1,0.3599999999999999,creg3a,10,-1775.5007568629665,,11,-13,10,6,-2,-5,-16,
50,51,1,0.3599999999999999,creg4b,7,-2029.290927668501,,11,-13,10,6,-2,7,-16,
51,52,1,0.3599999999999999,creg4c,-6,-2028.7034641897226,,11,-13,10,6,-2,7,-6,
52,53,1,0.3599999999999999,creg4a,-7,-1985.9218197710115,,11,-13,10,6,-7,7,-6,
53,54,1,0.3599999999999999,creg2a,15,-2037.5685682648834,,11,15,10,6,-7,7,-6,
