TImeStep,Flat,Ramp
1,-118.1899584,-57.03929858
2,-124.3103605,-55.04046008
3,-255.5171525,-446.69037
4,-277.2837846,-411.6875641
5,-1172.721769,-404.1872856
6,-1166.655651,-405.8727468
7,-1199.175373,-20.05036414
8,-1051.619038,-62.05491807
9,-1120.957112,-54.20384917
10,-1179.846238,-55.70295615
11,-1183.763843,-108.7035516
12,-1179.051482,-137.4497594
13,-1185.287433,-134.4500744
14,-1173.287417,-500.0532769
15,-1177.318801,-444.0532527
16,-641.019093,-447.0527168
17,-541.1760035,-445.879379
18,-506.3412758,-444.2902616
19,-502.2543754,-740.8854606
20,-515.236655,-776.8849429
21,-687.2984323,-766.2247562
22,-871.8518452,-767.5877
23,-841.5710486,-767.1415803
24,-868.1615507,-764.1415809
25,-706.9466292,-773.1440247
26,-693.8952255,-769.1435457
27,-695.9530871,-1161.709582
28,-850.0366779,-1155.10219
29,-842.7794151,-2717.843237
30,-703.681212,-2685.840759
31,-685.6731477,-2679.341095
32,-696.7390626,-2369.108218
33,-814.3171574,-2420.112107
34,-835.5087898,-2460.111694
35,-833.7767885,-2458.853901
36,-1003.822569,-2456.044333
37,-978.7590805,-2410.544716
38,-845.9365083,-2409.043635
39,-872.109819,-2378.541087
40,-740.6408971,-2417.543387
41,-737.4732273,-847.9218502
42,-732.1453857,-1166.881682
43,-716.9217376,-1160.78509
44,-894.4724057,-848.6582654
45,-875.454431,-808.1573471
46,-871.8441157,-805.9162404
47,-1045.99973,-818.9130113
48,-1166.858454,-850.4148879
49,-1166.858442,-901.4143053
50,-1166.858442,-905.916727
51,-1185.566199,-2769.036194
52,-1165.009893,-2767.035788
53,-1204.387555,-1892.424989
54,-1183.844984,-1882.424983
55,-917.0910041,-1544.659224
56,-743.5455884,-1541.158963
57,-1199.275803,-1535.658963
58,-1172.931794,-1290.337504
59,-1172.388102,-1295.836389
60,-1190.067066,-1252.337059
61,-1187.66245,-1250.836987
62,-1043.721677,-1197.337036
63,-1035.420056,-1206.662034
64,-959.5633497,-2365.344318
65,-931.1103484,-2365.344372
66,-917.3255833,-2013.270859
67,-917.6059498,-2004.421298
68,-899.9531634,-1976.418024
69,-1067.026293,-818.9690997
70,-254.1481372,-779.4711474
71,-404.0329987,-738.4739786
72,-443.5714238,-780.4715935
73,-1013.397371,-783.8674468
74,-998.4367059,-731.8667879
75,-265.9247666,-722.8667877
76,-286.136496,-725.0927083
77,-307.452637,-2466.094753
78,-441.7217018,-2460.935841
79,-434.0068252,-1962.738314
80,-427.0666207,-1878.349541
81,-288.6033491,-1830.849664
82,-314.6539859,-1796.850742
83,-304.5940136,-2282.268878
84,-1186.818007,-2340.767808
85,-1180.757452,-2331.768325
86,-1181.220965,-1972.56911
87,-1179.845755,-1974.676122
88,-1173.47248,-2343.294227
89,-1176.715013,-2292.294878
90,-405.4342968,-2293.175276
91,-564.1032087,-2290.797636
92,-434.473266,-2289.797636
93,-420.474068,-2343.291916
94,-445.93316,-2329.834667
95,-548.3148668,-2016.038487
96,-537.1180948,-2052.040595
97,-394.1722074,-2043.540585
98,-386.1742742,-2011.537679
99,-406.7194228,-785.2389801
100,-263.6554263,-874.9029967
101,-256.6543991,-910.9051793
102,-254.6910077,-904.2938322
103,-380.0151177,-904.2938333
104,-399.4996139,-518.7237262
105,-108.9407477,-457.0039202
106,-138.1042256,-411.5037087
107,-132.9552501,-852.7842132
108,-141.692797,-844.0596192
109,-270.7929252,-1976.062229
110,-402.9362637,-1972.562434
111,-271.5887447,-1974.353905
112,-250.5770999,-2016.352994
113,-246.775006,-2011.852991
114,-1201.385307,-2414.362806
115,-1179.409254,-2400.862769
116,-1183.32164,-2364.364224
117,-1188.95163,-842.8118477
118,-1183.218405,-802.3076257
119,-1061.291415,-641.482954
120,-1052.067589,-686.9834464
121,-935.0958549,-354.411877
122,-928.8976268,-691.9962743
123,-924.9353184,-685.9971765
124,-933.1755446,-350.7080866
125,-923.1564497,-2769.053447
126,-1074.894129,-2413.327108
127,-1175.760923,-2402.326432
128,-1141.011276,-2403.326332
129,-1138.014586,-2402.825205
130,-1122.809589,-2368.828209
131,-1104.102223,-2298.089052
132,-996.6517842,-2285.588878
133,-839.8804457,-2681.643446
134,-821.4265617,-2681.021833
135,-843.0423491,-2291.946399
136,-997.8700171,-860.7146167
137,-986.2987342,-861.9228817
138,-856.7159654,-872.8536919
139,-846.4643811,-914.8560479
140,-835.4655534,-892.5322117
141,-1065.265229,-847.0317886
142,-860.4681983,-842.8045352
143,-825.9778731,-485.8662434
144,-820.9786372,-535.3659725
145,-828.3695108,-542.4729951
146,-842.8344028,-184.1639229
147,-305.4226856,-196.6585967
148,-289.4873091,-182.7555451
149,-280.6200187,-186.7739281
150,-278.5267603,-135.2739322
151,-297.1056147,-193.774315
152,-435.0728329,-197.7740564
153,-406.9772508,-183.2740567
154,-255.3709122,-195.7744841
155,-263.5945919,-552.2444997
156,-249.7056642,-555.7472621
157,-141.6736344,-466.9591755
158,-108.7474426,-466.4592563
159,-141.2072887,-466.4605977
160,-112.0427718,-467.5765455
161,-235.6845025,-425.5771577
162,-537.6700997,-425.8226643
163,-553.1698037,-424.3226633
164,-532.1700951,-424.3226633
165,-552.6398866,-907.7896129
166,-563.8218423,-957.7856678
167,-572.7467206,-946.0750278
168,-721.6007725,-789.6047234
169,-771.2006232,-295.7049828
170,-735.0226525,-256.7047977
171,-714.2918877,-248.2055202
172,-713.1909433,-289.7043889
173,-615.0663691,-343.7046741
174,-445.5359104,-334.2042871
175,-296.2800461,-144.806325
176,-533.888062,-146.1434846
177,-528.4402921,-456.0481502
178,-545.8844455,-296.0688562
179,-554.1789831,-295.0689106
180,-528.1786728,-262.5723668
181,-528.2022388,-257.5698755
182,-528.2021051,-204.569839
183,-397.9508638,-247.5680721
184,-290.4999931,-418.0697682
185,-310.9962949,-417.3916968
186,-295.9951066,-414.6614439
187,-788.0913479,-469.1607691
188,-780.5500334,-780.3930802
189,-1191.922132,-785.8697661
190,-1190.410417,-470.8414727
191,-1172.012945,-1995.847448
192,-1204.428708,-2082.625137
193,-1190.50523,-1995.624402
194,-1185.312806,-1210.351149
195,-1033.057502,-1204.424637
196,-1182.933959,-2354.373045
197,-1195.939093,-1973.976273
198,-1192.57439,-1168.556227
199,-1176.569766,-1173.286779
200,-1173.62215,-1166.288493
201,-1205.192624,-1130.790038
202,-1191.144709,-814.5721364
203,-1185.11344,-862.0751907
204,-1193.391891,-854.0749723
205,-1189.651479,-814.0743654
206,-1218.745246,-825.075739
207,-1201.74525,-2061.230953
208,-1204.184369,-2056.731147
209,-1001.120537,-2018.537489
210,-1000.060264,-1982.035531
211,-999.6069094,-2372.003264
212,-997.1256557,-2733.572364
213,-1000.34024,-2718.134747
214,-852.943577,-2724.957907
215,-704.8085911,-2680.458688
216,-717.2627722,-2676.764925
217,-704.9541278,-2673.766782
218,-587.952233,-2732.266582
219,-562.9525,-2532.058686
220,-562.9525059,-2573.057937
221,-575.2297025,-2579.05412
222,-747.0710779,-2570.05412
223,-945.1669128,-2570.05412
224,-925.1702272,-2580.109733
225,-825.3610967,-493.3205054
226,-519.9802268,-855.5228917
227,-346.7535224,-812.0230584
228,-335.7547892,-805.0243843
229,-362.5533366,-801.7817107
230,-338.4933291,-733.5634829
231,-352.9404547,-802.7817053
232,-330.0052372,-853.7756436
233,-310.202566,-490.2550069
234,-447.5867059,-486.757913
235,-324.0264347,-99.71085783
236,-819.5232544,-55.2116475
237,-687.4566956,-422.0647827
238,-561.9464668,-723.544344
239,-549.9008524,-414.6502237
240,-739.1460573,-410.6503497
241,-417.4759062,-410.6503484
242,-255.0129091,-805.7630501
243,-113.1277947,-861.2628323
244,-107.1266745,-643.2246786
245,-107.1525538,-677.7259833
246,-250.1153398,-673.7266726
247,-237.218723,-667.0623424
248,-237.2143625,-631.5663734
249,-244.3203774,-2368.141919
250,-234.7455067,-2417.142709
251,-257.5073717,-813.4086596
252,-389.8621195,-802.908657
253,-238.3037365,-810.7265116
254,-128.0775984,-857.7268675
255,-141.6298249,-1971.627129
256,-371.1584826,-1965.329651
257,-367.1728524,-1929.825859
258,-461.6746243,-1895.81822
259,-482.208785,-2256.897194
260,-485.2976301,-2297.903395
261,-333.2189713,-2290.313272
262,-318.1392846,-2291.732467
263,-307.0638651,-2684.15717
264,-339.1650164,-2685.153531
265,-312.0615439,-2685.15717
266,-304.0606739,-2292.732471
267,-301.4723126,-2256.227203
268,-292.1783333,-2643.540212
269,-292.1769822,-2696.539856
270,-301.2524626,-2381.100878
271,-315.6408838,-2378.100762
272,-300.5065174,-2375.600762
273,-321.7646147,-2425.103332
274,-494.7993014,-2417.103824
275,-513.5544862,-2462.104986
276,-484.5544356,-2073.346281
277,-329.3852228,-2030.844
278,-468.2092049,-2028.342874
279,-453.6475452,-2028.844128
280,-448.6459829,-1994.839652
281,-455.0574025,-1988.838876
