Train,Test
-2776.554061,-24.95457067
-2772.044786,-22.45457067
-2465.078583,-22.45457067
-2468.507203,-22.45457067
-2110.514356,-22.45457067
-2107.481079,-22.45457067
-2422.319059,-22.45457067
-2414.343989,-22.45457067
-2365.872302,-22.45457067
-2363.871681,-22.45457067
-2734.642515,-22.45457067
-2719.393162,-22.45457067
-2373.816158,-22.45457067
-2364.851512,-22.45457067
-2416.342555,-22.45457067
-425.7465178,-22.45457067
-785.234787,-22.45457067
-839.2069593,-22.45457067
-835.2268343,-22.45457067
-832.618838,-22.45457067
-806.7257184,-22.45457067
-2293.956899,-22.45457067
-430.7437838,-22.45457067
-426.8101254,-22.45457067
-424.0277815,-22.45457067
-467.5745662,-22.45457067
-467.5242231,-22.45457067
-466.0574334,-22.45457067
-463.0574334,-22.45457067
-467.1286362,-22.45457067
-1374.395282,-22.45457067
-969.5141887,-22.45457067
-931.4286672,-22.45457067
-932.5377465,-22.45457067
-931.5377465,-22.45457067
-898.4635564,-22.45457067
-939.5246674,-22.45457067
-1339.186529,-22.45457067
-1334.709392,-22.45457067
-1300.637632,-22.45457067
-1337.609697,-22.45457067
-919.2842107,-22.45457067
-1317.832888,-22.45457067
-1259.593583,-22.45457067
-909.3943603,-22.45457067
-1131.981107,-22.45457067
-1182.488896,-22.45457067
-1227.827096,-22.45457067
-1225.327096,-22.45457067
-774.2062055,-22.45457067
-762.8082207,-22.45457067
-776.9208178,-22.45457067
-988.6597496,-22.45457067
-969.726146,-22.45457067
-990.1695685,-22.45457067
-981.6695685,-22.45457067
-1349.893725,-22.45457067
-317.6251011,-22.45457067
-854.9413936,-22.45457067
-845.6952213,-22.45457067
-2351.433381,-22.45457067
-2345.4282,-22.45457067
-1992.004359,-22.45457067
-1986.168467,-22.45457067
-1985.179506,-22.45457067
-2349.638227,-22.45457067
-2742.676772,-22.45457067
-2743.799095,-22.45457067
-2742.762308,-22.45457067
-2783.32024,-22.45457067
-2784.359187,-22.45457067
-2783.685531,-22.45457067
-2471.287983,-22.45457067
-2467.765787,-22.45457067
-2467.282375,-22.45457067
-2083.045457,-22.45457067
-2038.496998,-22.45457067
-2351.647221,-22.45457067
-2345.147221,-22.45457067
-2313.555632,-22.45457067
-2307.038919,-22.45457067
-2350.591764,-22.45457067
-2389.641611,-22.45457067
-2035.835385,-22.45457067
-2025.305356,-22.45457067
-2026.685864,-22.45457067
-425.4787837,-22.45457067
-422.4787837,-22.45457067
-463.9903644,-22.45457067
-462.487044,-22.45457067
-650.1438124,-22.45457067
-1178.365902,-22.45457067
-858.1652688,-22.45457067
-856.7248836,-22.45457067
-2336.964685,-22.45457067
-2646.139907,-22.45457067
-1721.697197,-22.45457067
-1675.155565,-22.45457067
-1644.03283,-22.45457067
-1636.554109,-22.45457067
-1637.505468,-22.45457067
-1635.023706,-22.45457067
-1634.364764,-22.45457067
-2032.614387,-22.45457067
-2030.082125,-22.45457067
-2026.117599,-22.45457067
-545.1608586,-22.45457067
-2338.372375,-22.45457067
-2302.48995,-22.45457067
-2294.526306,-22.45457067
-2337.954117,-22.45457067
-2725.845931,-22.45457067
-2721.81671,-22.45457067
-2722.33654,-22.45457067
-2720.042492,-22.45457067
-906.347386,-22.45457067
-869.9222654,-22.45457067
-2724.608959,-22.45457067
-2340.936909,-22.45457067
-2293.467621,-22.45457067
-2290.532314,-22.45457067
-2293.04588,-22.45457067
-1205.762904,-22.45457067
-1237.732545,-22.45457067
-1269.615037,-22.45457067
-1262.115037,-22.45457067
-1961.93872,-22.45457067
-1963.235975,-22.45457067
-1964.719546,-22.45457067
-1961.724093,-22.45457067
-2037.22298,-22.45457067
-2291.320021,-22.45457067
-2292.0478,-22.45457067
-2031.955784,-22.45457067
-2092.916797,-22.45457067
-953.4440465,-22.45457067
-1652.613474,-22.45457067
-1654.58862,-22.45457067
-1625.213244,-22.45457067
-1611.213244,-22.45457067
-1888.259944,-22.45457067
-1928.68286,-22.45457067
-1598.387928,-22.45457067
-1631.792126,-22.45457067
-1798.368568,-22.45457067
-1376.416886,-22.45457067
-1363.416886,-22.45457067
-1331.969408,-22.45457067
-1324.661192,-22.45457067
-1323.161192,-22.45457067
-1323.161081,-22.45457067
-1325.686939,-22.45457067
-1324.197566,-22.45457067
-1324.186939,-22.45457067
-1298.795216,-22.45457067
