TImeStep,g_0.98,g_0.99,g_0.995,g_0.999
1,-271.7034215,-118.1899584,-104.0833887,-122.3557814
2,-129.3105678,-124.3103605,-93.12524099,-254.4573947
3,-151.2001621,-255.5171525,-124.5028752,-243.5065528
4,-268.7040419,-277.2837846,-109.419237,-246.5076098
5,-298.5449727,-1172.721769,-109.4233855,-275.2753987
6,-285.3855834,-1166.655651,-111.5158714,-423.6885178
7,-299.6470654,-1199.175373,-109.5149076,-439.3912993
8,-299.9358768,-1051.619038,-904.2882679,-427.2289327
9,-322.603861,-1120.957112,-887.3412937,-284.0809859
10,-312.4795173,-1179.846238,-926.0119139,-276.5831311
11,-164.1296088,-1183.763843,-901.9771315,-404.3131262
12,-147.4413114,-1179.051482,-910.233095,-397.4364712
13,-228.7007009,-1185.287433,-901.5752391,-428.7138792
14,-214.7543435,-1173.287417,-896.5743942,-334.2241312
15,-293.2629692,-1177.318801,-678.7547831,-315.1263714
16,-304.9213604,-641.019093,-659.7212321,-1179.348811
17,-289.9214645,-541.1760035,-1204.861707,-1163.037347
18,-303.0433839,-506.3412758,-1201.33518,-1167.871659
19,-289.4732718,-502.2543754,-1188.991121,-1164.987126
20,-281.6440554,-515.236655,-1042.611523,-1164.501832
21,-277.6442786,-687.2984323,-1216.119416,-1168.275667
22,-281.5647959,-871.8518452,-1211.281789,-1162.599638
23,-997.8735354,-841.5710486,-1069.571244,-1051.079532
24,-979.6111317,-868.1615507,-1062.757647,-1066.762296
25,-982.4250814,-706.9466292,-1055.104968,-1043.732658
26,-1011.555233,-693.8952255,-1041.962754,-1055.055722
27,-991.5038025,-695.9530871,-282.475439,-1028.013858
28,-882.3222931,-850.0366779,-294.7664729,-1026.011138
29,-1199.658388,-842.7794151,-268.7151131,-1032.869001
30,-1184.917497,-703.681212,-445.4663817,-1030.147811
31,-1177.489599,-685.6731477,-442.5372179,-1037.81448
32,-1168.489595,-696.7390626,-427.4315619,-1030.664903
33,-1176.660105,-814.3171574,-306.4897594,-1033.663954
34,-1177.778401,-835.5087898,-441.0082207,-1028.066734
35,-1169.029134,-833.7767885,-543.5292826,-1019.14545
36,-1169.238269,-1003.822569,-589.0527203,-1024.127923
37,-1183.065238,-978.7590805,-942.915955,-1156.520698
38,-1166.065303,-845.9365083,-931.1679004,-1030.91294
39,-971.586842,-872.109819,-921.1050797,-1010.038579
40,-958.0320069,-740.6408971,-921.1569625,-1026.889806
41,-823.2416848,-737.4732273,-1042.735635,-1049.939011
42,-1205.884855,-732.1453857,-1182.185835,-1038.697002
43,-1183.260568,-716.9217376,-1185.931812,-1055.465385
44,-1184.030442,-894.4724057,-1207.290196,-850.2317952
45,-1189.809054,-875.454431,-223.6741296,-852.0873811
46,-1188.917891,-871.8441157,-218.6746893,-1044.445236
47,-1181.05637,-1045.99973,-497.6012907,-317.73092
48,-1175.056326,-1166.858454,-514.5934414,-244.5777192
49,-277.8284404,-1166.858442,-499.6012742,-250.8125628
50,-290.9748763,-1166.858442,-503.2986315,-247.8122035
51,-280.830078,-1185.566199,-506.2480552,-276.5275971
52,-261.7813974,-1165.009893,-1122.028105,-264.3312556
53,-258.0898168,-1204.387555,-1102.997165,-394.3172171
54,-243.6253576,-1183.844984,-1102.96651,-394.4648541
55,-282.7311372,-917.0910041,-1104.249947,-547.3415445
56,-122.2337405,-743.5455884,-1199.366973,-534.3415886
57,-116.4591453,-1199.275803,-1197.094075,-541.3388685
58,-111.3587356,-1172.931794,-1187.993664,-392.8172357
59,-119.5995528,-1172.388102,-1059.095095,-394.3806582
60,-117.5943442,-1190.067066,-1045.642094,-394.5693815
61,-422.8304324,-1187.66245,-1075.01462,-399.2257468
62,-422.3555007,-1043.721677,-1064.479862,-390.6895123
63,-402.3255023,-1035.420056,-1038.596268,-399.9456437
64,-417.9038485,-959.5633497,-1051.539187,-273.6923518
65,-418.3272733,-931.1103484,-903.0900722,-947.1140415
66,-405.1827228,-917.3255833,-904.3579484,-1109.532571
67,-399.8179562,-917.6059498,-894.9135448,-1095.503791
68,-384.6013846,-899.9531634,-912.5694111,-1100.712929
69,-381.7415454,-1067.026293,-901.7879325,-1093.48259
70,-378.5140879,-254.1481372,-905.1015155,-729.4310346
71,-381.6256053,-404.0329987,-895.0711838,-715.5737759
72,-534.5616108,-443.5714238,-893.0986518,-709.5731543
73,-665.6329246,-1013.397371,-1052.258424,-755.0506108
74,-664.3765671,-998.4367059,-1047.232738,-736.2303019
75,-653.2039009,-265.9247666,-1035.940045,-607.9212323
76,-660.4520778,-286.136496,-868.3140473,-802.2914185
77,-655.4525374,-307.452637,-850.3157545,-777.2907066
78,-674.3745596,-441.7217018,-858.0598743,-777.2907042
79,-676.4873118,-434.0068252,-887.1174951,-792.9642793
80,-555.2776524,-427.0666207,-794.6048206,-785.1203662
81,-541.2782016,-288.6033491,-928.7717402,-778.9755329
82,-531.1357353,-314.6539859,-930.6536764,-791.6553985
83,-687.4896684,-304.5940136,-1010.118356,-787.1138516
84,-680.3748176,-1186.818007,-975.8379574,-933.4269896
85,-809.625168,-1180.757452,-1004.241248,-902.8276425
86,-684.374661,-1181.220965,-813.3842617,-903.8602519
87,-675.4457485,-1179.845755,-796.9306964,-717.9817927
88,-815.1249905,-1173.47248,-772.6358715,-846.8239804
89,-802.1748912,-1176.715013,-766.6360205,-829.5514026
90,-798.1459208,-405.4342968,-773.3066058,-723.9421154
91,-804.2810119,-564.1032087,-751.205122,-855.6414541
92,-511.0913589,-434.473266,-769.3653398,-832.8055351
93,-528.4320773,-420.474068,-762.3644743,-813.3158531
94,-255.6867437,-445.93316,-694.0990336,-811.3200051
95,-258.8282701,-548.3148668,-712.3606756,-826.7012288
96,-1063.276229,-537.1180948,-705.5144365,-811.702973
97,-1050.178031,-394.1722074,-537.5415106,-811.7023237
98,-1056.059098,-386.1742742,-417.9268695,-803.9813505
