Steps,g_0.98,g_0.99,g_0.995,g_0.999
1,-116.2671693,-119.2684305,-126.5020232,-151.155458
2,-152.3263215,-141.0476415,-140.2941263,-271.5282618
3,-136.3107044,-110.4851138,-1178.500801,-289.344105
4,-307.4350009,-131.306359,-1141.547138,-267.6116544
5,-324.0525035,-147.8161072,-1131.664578,-125.9585901
6,-309.0521187,-122.7683888,-1037.005328,-108.9540943
7,-314.1814675,-150.1711491,-1035.421532,-253.4763672
8,-426.326474,-122.1280065,-1029.381918,-384.6050969
9,-298.5216359,-149.8644395,-921.6530632,-234.5801342
10,-839.0342922,-155.8615349,-938.3029881,-241.3944696
11,-828.9631217,-1176.049596,-926.7402089,-236.361997
12,-972.9391334,-1164.213444,-915.4563659,-393.6657526
13,-966.3949227,-1204.851783,-1038.886331,-378.9214915
14,-970.2835177,-1182.168807,-1040.647579,-376.9807383
15,-971.4349888,-1196.87368,-1030.647945,-264.4699158
16,-578.4466445,-1189.260032,-922.4742991,-254.921126
17,-566.3396854,-1199.691844,-925.2598787,-260.6484792
18,-565.60936,-1051.112562,-899.9292444,-286.5952804
19,-558.8888671,-1033.111398,-890.6771879,-289.5247113
20,-436.7644185,-1033.111389,-880.5929983,-317.8043296
21,-406.8808591,-1042.827175,-868.428033,-300.8033215
22,-550.2260595,-1035.744455,-752.2754912,-289.9214859
23,-424.535209,-1037.231767,-747.7007448,-204.9973918
24,-563.0684584,-1017.632111,-758.732659,-177.8757004
25,-579.0233171,-1039.087913,-1059.079881,-323.1393964
26,-579.003035,-1027.442695,-1178.392845,-332.5798375
27,-973.150859,-1170.956857,-1164.350087,-1156.003831
28,-949.9369252,-1190.634632,-1210.667086,-1147.466266
29,-935.2347966,-1202.120049,-1184.868563,-570.2517903
30,-928.0113684,-1181.180596,-1179.827816,-554.6884885
31,-1081.790558,-1189.734801,-1185.329339,-533.688248
32,-1074.760961,-1169.252165,-1181.289854,-383.62227
33,-1073.634409,-1163.323099,-1029.908635,-1200.015981
34,-1103.954225,-1171.107665,-1015.909857,-1182.667137
35,-1084.916109,-1162.143007,-1013.25559,-1186.415128
36,-989.1217585,-1065.043975,-574.4529121,-1175.733229
37,-976.0260489,-879.7764139,-585.826709,-1202.192087
38,-976.2977566,-781.7471765,-436.0235086,-1171.457935
39,-1007.085922,-891.9733661,-428.6650381,-1187.192016
40,-1057.007996,-892.0045261,-1054.973547,-1184.391299
41,-1083.252111,-773.4010498,-1045.755467,-1189.268364
42,-1086.845527,-495.1854288,-1180.092396,-1190.977033
43,-1078.676145,-499.5661637,-1162.683508,-1183.438457
44,-1081.346292,-471.7322292,-1149.394497,-1179.323771
45,-919.1741939,-482.4992643,-1149.583958,-1153.362204
46,-914.3173333,-510.0445317,-1153.881101,-893.4503457
47,-916.1870357,-524.8375885,-1181.28414,-871.4499591
48,-1060.056976,-575.5561663,-1062.619241,-871.9930244
49,-932.1864453,-558.2411683,-1054.08924,-859.2770645
