Timestep,P0,P1,P2,P3
1,-386.9836759,-24.74433942,-25.46113426,-26.40682304
2,-25.3039036,-2389.332395,-79.93310856,-23.77579852
3,-386.2845842,-2386.871632,-28.96176556,-78.78342877
4,-429.7102383,-2383.371634,-72.0482836,-466.9559448
5,-422.5856398,-2386.985119,-431.8310184,-414.9474166
6,-478.095847,-2128.021436,-1496.674404,-25.40483104
7,-474.4634837,-2118.555405,-1456.696157,-25.19520309
8,-120.7402037,-2183.13751,-1862.892216,-67.73986176
9,-474.450723,-610.1311177,-1913.440083,-68.20721023
10,-518.9011196,-389.1190472,-1882.364372,-116.2256241
11,-155.9924495,-397.0625974,-1874.768463,-118.2217152
12,-165.6121427,-391.0536026,-1838.999563,-115.0235351
13,-117.069676,-452.4470245,-1835.477192,-71.50665353
14,-123.0553311,-433.1599221,-1421.368,-767.3025134
15,-114.1977824,-416.11294,-1117.506451,-766.7685194
16,-536.1383128,-403.6127085,-1123.988678,-810.7259514
17,-533.1428428,-960.1006735,-1123.474997,-497.867677
18,-553.2058924,-955.6079839,-1122.468315,-1894.813887
19,-508.0071227,-957.6253344,-1089.917529,-1896.066798
20,-505.0081746,-783.5071621,-1081.41755,-1945.578363
21,-794.3006142,-730.0141388,-1571.638442,-1988.533243
22,-795.3312012,-728.4736146,-1562.638523,-1959.477942
23,-806.0011887,-782.4540266,-1543.819031,-2090.688441
24,-1139.65068,-775.4673243,-1528.349514,-2093.810199
25,-1162.329534,-782.9742329,-1465.3377,-2077.325773
26,-2379.903643,-777.0915118,-1538.803381,-2071.841221
27,-2420.936312,-1137.952426,-1482.354498,-2074.40846
28,-2416.425344,-1104.594874,-1448.386383,-2074.375853
29,-828.8617931,-783.4151692,-1488.849106,-2127.831737
30,-807.8362333,-2043.313826,-552.2362601,-2126.873737
31,-2692.290519,-780.9140777,-2427.984115,-2080.965304
32,-2688.790848,-2788.243337,-2429.170635,-2021.967236
33,-2689.267893,-1996.950519,-2432.641039,-2020.970081
34,-2687.154655,-2047.813944,-2427.308822,-2030.886428
35,-1905.078535,-2050.791539,-2474.362807,-2429.627703
36,-1893.083283,-2020.178561,-2465.716408,-2418.631953
37,-1943.981601,-1963.661766,-701.2823736,-2418.631953
38,-1899.5405,-1959.054924,-692.7824556,-1120.715634
39,-2352.279465,-1960.527316,-392.9714723,-1120.031882
40,-2333.768227,-1957.527289,-439.4362548,-1131.991134
41,-2462.454273,-2018.575849,-478.8887403,-814.5804334
42,-742.5638616,-2007.575856,-440.4486772,-862.9673797
43,-975.8856114,-1630.588793,-805.1808729,-854.0055936
44,-983.8307561,-1650.907807,-785.4839494,-867.6373173
45,-974.8307829,-1646.41352,-1100.770243,-827.7568849
46,-844.5602649,-1620.367438,-1042.817356,-813.1224815
47,-2028.48506,-2045.597176,-439.0280536,-815.6218485
48,-2022.34915,-2027.063391,-433.5280116,-861.5640107
49,-2021.34915,-2068.596436,-480.9688043,-859.2327493
50,-2388.286386,-2688.236983,-520.5306273,-1167.574604
51,-2204.92681,-2750.291478,-513.5303392,-1130.624959
52,-2067.842121,-2436.323267,-526.2917369,-1180.611782
53,-2061.842157,-2427.54763,-521.3790712,-1172.71882
54,-2186.063192,-2070.777579,-522.3586862,-788.8777317
55,-2434.958603,-2023.715296,-514.7540872,-785.3924642
56,-2109.753055,-2014.223322,-477.194954,-1180.205003
57,-2437.319043,-1294.275832,-524.7413569,-819.5127446
58,-2649.204864,-1258.22174,-761.1676081,-763.5132913
59,-403.5800271,-1286.093089,-762.175008,-732.2593575
60,-363.1789664,-1333.695154,-801.2496028,-1119.218667
61,-357.6625389,-1620.978337,-815.2896131,-933.0128089
62,-571.2890722,-833.3361152,-802.8882426,-517.7685924
63,-546.4004944,-833.3869249,-797.8562991,-517.2261388
64,-531.9004594,-834.2874573,-838.923191,-2744.567261
65,-531.9004593,-566.499716,-834.4322538,-2735.659588
66,-533.3882661,-846.6753632,-846.270661,-2384.338044
67,-2373.348214,-1134.416355,-478.1296548,-2376.961799
68,-2337.400523,-1136.915581,-477.3086602,-2372.516895
69,-2330.900535,-2430.86765,-475.3310964,-2373.492043
70,-826.7606142,-2421.367992,-475.3544222,-2342.5981
71,-1220.454663,-2423.890589,-1137.904664,-2692.089796
72,-871.4972471,-2734.720237,-1188.266016,-498.7109615
73,-822.1040517,-2735.851511,-2222.62125,-107.5319929
