Timestep,l_0.0001,l_0.001,l_0.01,l_0.05
1,-350.3816196,-118.2197863,-118.1899584,-119.2684305
2,-350.4261916,-279.6249266,-124.3103605,-141.0476415
3,-336.055039,-286.6031819,-255.5171525,-110.4851138
4,-211.9847217,-420.0537167,-277.2837846,-131.306359
5,-229.6784277,-395.075855,-1172.721769,-147.8161072
6,-228.5890979,-419.738623,-1166.655651,-122.7683888
7,-225.8912407,-439.532737,-1199.175373,-150.1711491
8,-222.7750742,-421.829487,-1051.619038,-122.1280065
9,-221.0396354,-410.6287101,-1120.957112,-149.8644395
10,-206.2501895,-417.7623303,-1179.846238,-155.8615349
11,-326.8236703,-447.2878095,-1183.763843,-1176.049596
12,-325.1975073,-522.8176687,-1179.051482,-1164.213444
13,-309.0062253,-875.5865013,-1185.287433,-1204.851783
14,-352.7024199,-870.5417789,-1173.287417,-1182.168807
15,-335.8469193,-880.8227862,-1177.318801,-1196.87368
16,-357.3399217,-886.76773,-641.019093,-1189.260032
17,-379.6099271,-869.884602,-541.1760035,-1199.691844
18,-373.7664493,-729.3730811,-506.3412758,-1051.112562
19,-498.5815579,-717.2431207,-502.2543754,-1033.111398
20,-625.95895,-722.4714218,-515.236655,-1033.111389
21,-739.9419357,-860.5993187,-687.2984323,-1042.827175
22,-710.3130872,-1021.130261,-871.8518452,-1035.744455
23,-587.5668865,-1004.291076,-841.5710486,-1037.231767
24,-614.0628874,-874.2291324,-868.1615507,-1017.632111
25,-708.4693431,-1006.255834,-706.9466292,-1039.087913
26,-716.6700379,-1001.255794,-693.8952255,-1027.442695
27,-850.1574149,-872.1175277,-695.9530871,-1170.956857
28,-916.0240762,-854.2073753,-850.0366779,-1190.634632
29,-757.8084441,-842.7123997,-842.7794151,-1202.120049
30,-909.4349295,-838.8243322,-703.681212,-1181.180596
31,-901.4349597,-974.4984632,-685.6731477,-1189.734801
32,-892.2537311,-953.716151,-696.7390626,-1169.252165
33,-871.2536938,-940.7794991,-814.3171574,-1163.323099
34,-880.0499108,-969.3490866,-835.5087898,-1171.107665
35,-864.0520462,-953.3477203,-833.7767885,-1162.143007
36,-873.9604189,-946.6014239,-1003.822569,-1065.043975
37,-880.2604342,-939.4431607,-978.7590805,-879.7764139
38,-738.3275083,-846.2268677,-845.9365083,-781.7471765
39,-881.4592395,-1085.690252,-872.109819,-891.9733661
40,-849.7506294,-708.6874692,-740.6408971,-892.0045261
41,-844.3685546,-688.6908527,-737.4732273,-773.4010498
42,-991.6612678,-662.3531355,-732.1453857,-495.1854288
43,-994.961447,-788.8996397,-716.9217376,-499.5661637
44,-864.0340952,-772.8261209,-894.4724057,-471.7322292
45,-905.492096,-913.5770992,-875.454431,-482.4992643
46,-470.2325495,-896.6808491,-871.8441157,-510.0445317
