Timestep,Ramp0,Ramp1
1,-57.03929858,-14.21705015
2,-55.04046008,-327.0357925
3,-446.69037,-370.5321223
4,-411.6875641,-366.5317872
5,-404.1872856,-367.9941254
6,-405.8727468,-375.2589295
7,-20.05036414,-760.8324841
8,-62.05491807,-768.7626252
9,-54.20384917,-1121.688904
10,-55.70295615,-732.4306261
11,-108.7035516,-726.9308193
12,-137.4497594,-1219.745888
13,-134.4500744,-845.8081352
14,-500.0532769,-2411.014686
15,-444.0532527,-2763.825058
16,-447.0527168,-2768.327768
17,-445.879379,-2722.828758
18,-444.2902616,-2719.771805
19,-740.8854606,-2719.706361
20,-776.8849429,-2725.35531
21,-766.2247562,-2372.698731
22,-767.5877,-2364.719948
23,-767.1415803,-2363.03163
24,-764.1415809,-2076.924941
25,-773.1440247,-2063.424942
26,-769.1435457,-2067.4245
27,-1161.709582,-2063.300969
28,-1155.10219,-2064.596853
29,-2717.843237,-2065.202634
30,-2685.840759,-2066.704489
31,-2679.341095,-2472.01955
32,-2369.108218,-2456.019549
33,-2420.112107,-2781.388264
34,-2460.111694,-2772.028799
35,-2458.853901,-1586.092426
36,-2456.044333,-1619.090823
37,-2410.544716,-1672.090885
38,-2409.043635,-2687.443032
39,-2378.541087,-2682.640315
40,-2417.543387,-2688.635759
41,-847.9218502,-2692.142021
42,-1166.881682,-1566.445854
43,-1160.78509,-480.4984846
44,-848.6582654,-425.4983843
45,-808.1573471,-456.3981045
46,-805.9162404,-725.7744882
47,-818.9130113,-733.6020935
48,-850.4148879,-686.101533
49,-901.4143053,-381.6955447
50,-905.916727,-376.6947967
51,-2769.036194,-385.9401518
52,-2767.035788,-371.9401478
53,-1892.424989,-686.2053192
54,-1882.424983,-689.2047298
55,-1544.659224,-697.0644792
56,-1541.158963,-684.564481
57,-1535.658963,-730.567062
58,-1290.337504,-693.0635356
59,-1295.836389,-1079.320024
60,-1252.337059,-2384.074211
61,-1250.836987,-2336.576239
62,-1197.337036,-2382.075301
63,-1206.662034,-2057.501703
64,-2365.344318,-2059.11822
65,-2365.344372,-2035.050128
66,-2013.270859,-2079.552797
67,-2004.421298,-2039.550148
68,-1976.418024,-2693.824697
69,-818.9690997,-2688.759292
70,-779.4711474,-719.8312717
71,-738.4739786,-1083.584317
72,-780.4715935,-1073.584179
73,-783.8674468,-1119.081479
74,-731.8667879,-1126.587975
75,-722.8667877,-1169.087854
76,-725.0927083,-1177.580849
77,-2466.094753,-1167.624184
78,-2460.935841,-1164.624183
79,-1962.738314,-862.1730311
80,-1878.349541,-854.6726994
81,-1830.849664,-1169.212325
82,-1796.850742,-782.637029
83,-2282.268878,-774.5074975
84,-2340.767808,-753.9437043
85,-2331.768325,-766.9440752
86,-1972.56911,-758.4469075
87,-1974.676122,-802.9525904
88,-2343.294227,-918.7385391
89,-2292.294878,-816.3098961
90,-2293.175276,-860.8152332
91,-2290.797636,-491.6502992
92,-2289.797636,-798.0552424
93,-2343.291916,-798.5520646
94,-2329.834667,-788.5510213
95,-2016.038487,-1974.881041
96,-2052.040595,-2297.399428
97,-2043.540585,-2251.397123
98,-2011.537679,-2245.897123
99,-785.2389801,-1898.175919
100,-874.9029967,-1883.175914
101,-910.9051793,-1884.860772
102,-904.2938322,-2278.09938
103,-904.2938333,-2281.101237
104,-518.7237262,-2281.520381
105,-457.0039202,-2341.021102
106,-411.5037087,-1169.076862
107,-852.7842132,-776.7119149
108,-844.0596192,-786.2117734
109,-1976.062229,-821.7152846
110,-1972.562434,-814.7139943
111,-1974.353905,-464.7579703
112,-2016.352994,-1118.136276
113,-2011.852991,-759.6652464
114,-2414.362806,-709.1647952
115,-2400.862769,-63.16186461
116,-2364.364224,-53.25916218
117,-842.8118477,-105.7591673
118,-802.3076257,-57.25899749
119,-641.482954,-55.25942128
120,-686.9834464,-356.8702953
121,-354.411877,-355.9204165
122,-691.9962743,-373.4259255
123,-685.9971765,-361.4259254
124,-350.7080866,-367.9250007
125,-2769.053447,-2425.346965
126,-2413.327108,-2414.846966
127,-2402.326432,-2417.346738
128,-2403.326332,-2383.344851
129,-2402.825205,-2379.778141
130,-2368.828209,-2383.278453
131,-2298.089052,-2424.780141
132,-2285.588878,-2423.279846
133,-2681.643446,-2422.280092
134,-2681.021833,-2418.266289
135,-2291.946399,-2418.765622
136,-860.7146167,-2323.01521
137,-861.9228817,-2588.631276
138,-872.8536919,-2585.131276
139,-914.8560479,-2334.221219
140,-892.5322117,-2322.03239
141,-847.0317886,-2320.532391
142,-842.8045352,-2320.532391
143,-485.8662434,-2322.532554
144,-535.3659725,-2374.032246
145,-542.4729951,-2374.031331
146,-184.1639229,-2374.529691
147,-196.6585967,-2374.028683
148,-182.7555451,-2372.217409
149,-186.7739281,-2370.717409
150,-135.2739322,-2317.953373
151,-193.774315,-2350.95505
152,-197.7740564,-2490.383598
153,-183.2740567,-2434.577355
154,-195.7744841,-2441.077681
155,-552.2444997,-2438.444033
156,-555.7472621,-2398.442238
157,-466.9591755,-2686.450423
158,-466.4592563,-2690.452564
159,-466.4605977,-2698.021605
160,-467.5765455,-2691.020868
161,-425.5771577,-2730.521615
162,-425.8226643,-2732.02335
163,-424.3226633,-2729.521688
164,-424.3226633,-2730.522511
165,-907.7896129,-2734.419739
166,-957.7856678,-2731.113193
167,-946.0750278,-2730.638549
168,-789.6047234,-2772.640341
169,-295.7049828,-2775.14378
170,-256.7047977,-2730.645063
171,-248.2055202,-2687.641134
172,-289.7043889,-2682.992061
173,-343.7046741,-2684.489692
174,-334.2042871,-2679.489741
175,-144.806325,-2679.489741
176,-146.1434846,-2681.490143
177,-456.0481502,-2687.832368
178,-296.0688562,-2726.337712
179,-295.0689106,-780.7449112
180,-262.5723668,-1175.789542
181,-257.5698755,-1166.789541
182,-204.569839,-1168.597218
183,-247.5680721,-1180.096125
184,-418.0697682,-1215.093438
185,-417.3916968,-1209.093304
186,-414.6614439,-1165.593957
187,-469.1607691,-1122.092293
188,-780.3930802,-1119.434271
189,-785.8697661,-1117.643219
190,-470.8414727,-1109.866378
191,-1995.847448,-319.2913624
192,-2082.625137,-437.9265264
193,-1995.624402,-439.9232968
194,-1210.351149,-438.9253883
195,-1204.424637,-432.9253884
196,-2354.373045,-401.4280618
197,-1973.976273,-365.9326728
198,-1168.556227,-383.5271166
199,-1173.286779,-371.0271132
200,-1166.288493,-372.815351
201,-1130.790038,-423.8149758
202,-814.5721364,-735.8650159
203,-862.0751907,-429.8449937
204,-854.0749723,-425.8437573
205,-814.0743654,-818.9748607
206,-825.075739,-815.7823725
207,-2061.230953,-819.7797699
208,-2056.731147,-1129.586568
209,-2018.537489,-769.5907357
210,-1982.035531,-766.5895596
211,-2372.003264,-763.4059585
212,-2733.572364,-764.9417196
213,-2718.134747,-765.9912935
214,-2724.957907,-762.4912933
215,-2680.458688,-763.4914011
216,-2676.764925,-778.098724
217,-2673.766782,-808.0976873
218,-2732.266582,-805.5977731
219,-2532.058686,-1171.664633
220,-2573.057937,-1104.496773
221,-2579.05412,-1098.498613
222,-2570.05412,-1003.604505
223,-2570.05412,-993.1037347
224,-2580.109733,-1174.464899
225,-493.3205054,-1164.965562
226,-855.5228917,-856.7422914
227,-812.0230584,-504.1192541
228,-805.0243843,-496.6183956
229,-801.7817107,-857.0059251
230,-733.5634829,-825.0081342
231,-802.7817053,-772.5079835
232,-853.7756436,-409.9029945
233,-490.2550069,-406.4022341
234,-486.757913,-403.9022356
235,-99.71085783,-16.30092692
236,-55.2116475,-408.121565
237,-422.0647827,-456.1181501
238,-723.544344,-447.1178966
239,-414.6502237,-61.47907944
240,-410.6503497,-1573.823126
241,-410.6503484,-1575.825429
242,-805.7630501,-1658.037972
243,-861.2628323,-2069.53437
244,-643.2246786,-2119.034564
245,-677.7259833,-1630.870962
246,-673.7266726,-1971.577998
247,-667.0623424,-2333.553494
248,-631.5663734,-2417.573307
249,-2368.141919,-2407.843352
250,-2417.142709,-2405.833654
251,-813.4086596,-2065.985958
252,-802.908657,-2413.615971
253,-810.7265116,-2410.117084
254,-857.7268675,-2405.617084
255,-1971.627129,-2405.617084
256,-1965.329651,-2408.117429
257,-1929.825859,-1148.526561
258,-1895.81822,-1144.026561
259,-2256.897194,-1146.526335
260,-2297.903395,-1105.026202
261,-2290.313272,-1115.685646
262,-2291.732467,-1103.98137
263,-2684.15717,-1103.876921
264,-2685.153531,-1070.876146
265,-2685.15717,-1122.375807
266,-2292.732471,-1159.876992
267,-2256.227203,-1118.875879
268,-2643.540212,-1133.778924
269,-2696.539856,-736.412955
270,-2381.100878,-731.4129555
271,-2378.100762,-742.4136504
272,-2375.600762,-731.4136496
273,-2425.103332,-731.4136496
274,-2417.103824,-735.7163829
275,-2462.104986,-433.0920142
276,-2073.346281,-70.04174814
277,-2030.844,-2289.283558
278,-2028.342874,-2252.780346
279,-2028.844128,-2245.755375
280,-1994.839652,-2245.670315
281,-1988.838876,-107.4381119
282,-2382.659215,-419.0957287
283,-2375.159219,-410.5957294
284,-1266.45455,-1936.995488
285,-1288.099907,-363.7814024
286,-1245.100124,-362.5119388
287,-1578.164342,-417.5113786
288,-1316.960931,-411.0113843
289,-1322.46042,-2405.843351
290,-141.2217294,-2373.34799
291,-103.7253734,-1960.546
292,-69.73129522,-2436.171026
293,-333.4953723,-2402.345548
294,-1145.174067,-2432.345711
295,-1153.307443,-2548.821624
296,-943.7344169,-2475.210919
297,-934.7345497,-2468.708414
298,-1161.623409,-2468.708831
299,-765.6016628,-2484.708051
300,-774.5956073,-2433.709015
301,-771.5900601,-2429.207593
302,-725.5924758,-2488.705402
303,-728.526981,-2477.20528
304,-371.431163,-2469.535386
305,-730.5269752,-2469.78883
306,-728.0242797,-2465.788898
307,-416.570914,-2470.79298
308,-415.5717241,-2551.722945
309,-412.0717142,-2543.815228
310,-798.0247636,-2763.974431
311,-797.8083068,-2772.556844
312,-795.3084108,-2774.052521
313,-796.629241,-2771.375909
314,-408.8531343,-19.77881735
315,-457.352895,-65.27881171
316,-452.3529058,-61.27881509
317,-509.2373432,-63.01793316
318,-513.7434876,-2300.024365
319,-503.7434802,-1939.828931
320,-829.5707276,-1937.327656
321,-816.2016508,-1895.327265
322,-816.3196711,-1883.576174
323,-816.1892544,-1882.076413
324,-517.74349,-1944.576523
325,-460.5934681,-1892.076171
326,-415.592935,-806.8049109
327,-416.2739514,-613.5667378
328,-816.2384957,-572.5703007
329,-859.7864902,-80.6937723
330,-486.7639401,-78.1933202
331,-473.3260082,-74.69371399
332,-533.4847373,-15.65406041
333,-537.465788,-331.0558619
334,-489.4664455,-333.9207428
335,-1128.010745,-323.6871955
336,-1074.010628,-323.6870157
337,-1084.744223,-2526.323561
338,-1086.269041,-2521.323953
339,-689.1507757,-2522.82371
340,-735.6506498,-2486.325285
341,-737.3551751,-2575.928542
342,-427.7505387,-2215.034311
343,-424.9207461,-2212.289665
344,-374.4213571,-2235.485474
345,-426.4202682,-2272.773414
346,-70.37738158,-1971.08336
347,-428.07746,-2026.084414
348,-427.0785396,-2029.770246
349,-72.99088641,-2014.460499
350,-105.4914661,-1638.271585
351,-103.5738115,-1627.567883
352,-118.0697638,-1623.567882
353,-105.0698551,-1672.565554
354,-418.2886612,-1664.565395
355,-427.291578,-1666.032937
356,-782.5854338,-1663.032936
